Squeezing [dB],X,P,Bipartition ID,Bipartition 1,Bipartition 2
3.010299956639812,n_x_0,n_p_0,14,"[1, 2, 3, 4]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0-n_x_1,n_p_0+n_p_6,11,"[3, 4]","[1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0-n_x_1,n_p_0+n_p_6,13,"[2, 3, 4]","[1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0-n_p_6,18,"[1, 2, 5]","[3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0-n_x_2,n_p_0-n_p_6,10,"[1, 2, 4]","[3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0-n_x_1,n_p_0+n_p_6,12,"[1, 3, 4]","[2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0-n_x_2,n_p_0-n_p_6,2,"[1, 2]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,22,"[1, 2, 3, 5]","[4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0-n_x_2,n_p_0-n_p_6,6,"[1, 2, 3]","[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.979400086720376,n_x_0-n_x_19,n_p_0-n_p_1-n_p_2,9,"[2, 4]","[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
5.228787452803376,n_x_0+n_x_2,n_p_0-n_p_6+n_p_7,15,[5],"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,26,"[1, 2, 4, 5]","[3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
5.228787452803376,n_x_0-n_x_2,n_p_0-n_p_6+n_p_8,0,[1],"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,28,"[1, 3, 4, 5]","[2, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,29,"[2, 3, 4, 5]","[1, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199826559248,n_x_0,n_p_0,30,"[1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.979400086720376,n_x_0+n_x_6,n_p_0+n_p_4+n_p_7,16,"[1, 5]","[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
5.228787452803376,n_x_0-n_x_1,n_p_0+n_p_6-n_p_8,3,[3],"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.979400086720376,n_x_0+n_x_19,n_p_0-n_p_1-n_p_2,4,"[1, 3]","[2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0-n_p_6,34,"[1, 2, 6]","[3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
5.228787452803376,n_x_0-n_x_1,n_p_0+n_p_6+n_p_8,7,[4],"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
5.228787452803376,n_x_0-n_x_2,n_p_0-n_p_6-n_p_8,1,[2],"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.979400086720376,n_x_0-n_x_8,n_p_0-n_p_1-n_p_2,5,"[2, 3]","[1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,38,"[1, 2, 3, 6]","[4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.979400086720376,n_x_0+n_x_8,n_p_0-n_p_1-n_p_2,8,"[1, 4]","[2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0-n_x_1,n_p_0+n_p_6,27,"[3, 4, 5]","[1, 2, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
